54.748,105.006,147.038,178.09,219.462,219.402,249.468,267.702,238.918,202.616,176.522,153.44,133.704,116.148,119.826,113.61,102.762,101.642,103.866,102.968,108.05,112.964,116.996,126.062,129.676,135.658,137.796,139.426,144.498,142.044,141.038,139.546,142.69,152.406,156.486,150.824,149.958,155.234,155.452,153.876,150.82,152.984,147.83,152.602,154.58,149.122,153.472,160.244,163.86,158.962,158.754
58.918,125.026,160.708,180.672,198.524,196.614,200.194,203.608,197.968,166.452,141.476,123.08,112.024,112.012,116.722,118.574,118.818,127.464,131.356,132.422,142.368,145.456,142.864,152.558,154.602,158.444,161.882,167.502,179.86,193.386,203.41,208.412,212.988,211.684,207.98,204.49,203.776,207.536,203.256,199.89,199.39,197.596,203.49,202.016,205.268,203.232,200.1,206.62,216.866,216.468,224.412
58.096,112.858,156.252,176.084,197.416,207.652,209.908,208.274,207.57,183.95,151.556,127.794,109.994,84.726,75.366,68.068,66.244,67.26,71.59,79.242,83.114,84.944,89.16,88.826,94.232,92.562,95.218,100.898,103.752,109.09,107.138,103.912,105.264,102.618,107.794,107.844,117.532,117.798,116.418,118.934,113.038,118.186,120.316,121.016,122.248,129.452,131.578,132.496,131.306,133.516,139.912
56.296,122.94,148.296,176.75,202.982,219.108,238.376,261.256,275.056,287.13,316.68,336.282,362.558,380.5,393.458,387.67,391.008,402.462,394.422,407.61,409.29,402.55,408.49,403.192,403.338,409.38,408.458,399.488,391.426,394.276,396.28,397.528,406.68,415.524,421.702,422.696,420.864,421.312,423.35,415.116,409.232,414.264,414.3,424.5,429.134,436.732,422.798,427.21,425.38,412.962,417.05
59.584,114.502,154.516,177.66,195.594,207.306,216.534,221.738,225.18,225.964,231.5,243.338,251.628,263.702,273.74,285.03,288.956,299.984,306.872,313.606,317.47,305.298,308.07,301.684,303.93,296.176,296.288,302.37,308.424,313.316,307.136,314,316.124,310.984,319.8,323.588,329.22,332.458,341.826,349.74,353.232,362.52,363.834,365.538,359.806,365.726,369.476,361.414,357.51,365.51,365.284
64.888,143.63,183.736,203.408,223.648,222.608,212.868,210.094,199.298,196.982,196.024,188.88,173.664,168.018,155.236,149.678,143.824,145.142,146.902,152.356,155.636,164.028,174.954,184.93,197.83,201.052
50.512,93.466,112.378,126.474,144.372,160.7,165.58,164.65,170.878,181.84,183.372,175.918,170.524,163.714,169.82,167.556,161.818,162.284,163.534,160.66,162.726,156.942,157.308,156.416,154.544,160.766,167.13,175,182.36,181.628,183.898,189.71,196.216,207.154,209.17,222,227.354,231.328,240.704,247.512,247.236,249.454,259.79,257.266,267.962,280.33,272.36,277.178,276.6,286.602,282.128
59.752,124.746,156.71,180.28,203.446,224.656,253.9,256.984,253.868,258.296,262.854,265.014,257.56,233.016,217.822,201.602,179.496,162.144,153.772,146.738,151.504,160.406,174.206,191.96,194.112,203.886,210.22,219.518,227.152,240.708,249.556,254.9,260.068,275.264,276.99,271.792,272.738,276.858,275.286,284.072,285.554,287.15,293.098,294.422,285.618,289.658,294.538,286.966,290.544,299.074,297.418
57.714,118.966,157.676,169.824,177.718,214.806,213.814,213.516,199.312,183.428,183.438,166.274,144.85,136.662,130.74,122.5,124.046,128.952,140.122,144.158,149.238,144.34,153.166,150.134,153.808,153.464,156.578,160.906,170.706,170.704,168.5,165.16,165.74,173.668,171.98,164.68,172.304,173.376,169.356,169.668,165.498,174.626,180.198,182.46,193.83,193.34,193.288,199.608,201.262,203.878,205.162
62.252,120.646,158.544,189.446,208.752,234.946,257.888,280.506,299.914,333.348,351.462,385.562,387.036,412.546,431.026,454.976,470.092,491.696,515.458,528.66,537.802,528.874,534.978,541.91,524.232,511.132,500.962,440.424,417.272,388.828,350.288,295.5,270.898,256.22,251.698,257.648,258.558,263.05,288.332,302.094,313.614,328.804,354.726,357.974,353.492,358.378,348.364,343.944,349.504,356.034,363.186
66.37,116.466,150.988,204.156,228.798,255.646,261.498,262.076,267.17,264.464,259.468,263.426,269.804,266.782,259.316,246.002,230.318,224.148,219.574,209.69,188.242,176.864,171.17,177.712,161.344,162.558,155.326,159.21,156.12,160.414,158.54,164.252,172.338,177.624,179.786,178.518,180.958,186.026,192.842,191.464,198.978,206.712,202.19,211.93,218.704,221.628,230.406,230.676,233.708,234.1,226.792
53.524,105.948,150.208,180.774,208.806,222.508,232.852,233.432,237.308,213.958,184.844,152.204,134.538,128.748,135.962,140.03,145.906,154.704,160.756,167.302,180.302,192.768,201.838,208.306,205.522,208.864,210.746,212.638,221.658,220.304,231.06,227.11,236.724,250.222,253.654,257.624,272.97,266.402,271.41,287.514,287.174,284.792,281.89,289.236,287.954,279.004,275.184,272.538,262.82,258.468,257.032
55.516,104.708,147.13,168.588,181.182,203.364,210.212,213.174,214.664,226.878,235.258,238.21,239.026,223.984,222.67,222.916,216.506,207.05,202.508,208.118,216.708,214.888,213.888,227.288,226.784,234.072,235.534
